id,road,name,lat,lon,length,condition,constructionYear,model_type,quality_score
1,N1,LRP001,23.7021389,90.4519722,1000.0,,,link,0.0
2,N1,LRP002,23.6978886,90.4605833,129.9999999999999,,,link,0.0
3,N1,LRP002a,23.6973608,90.4616667,870.0000000000001,,,link,0.0
4,N1,LRP003,23.693833,90.4691382,1000.0,,,link,0.0
5,N1,LRP004,23.6936108,90.4787771,174.99999999999983,,,link,0.0
6,N1,LRP004a,23.6938052,90.4805271,825.0000000000002,,,link,0.0
7,N1,LRP005,23.6947497,90.4884997,1000.0,,,link,0.0
8,N1,LRP006,23.6959163,90.4981941,1000.0,,,link,0.0
9,N1,LRP007,23.697333,90.50775,181.00000000000006,,,link,0.0
10,N1,LRP007a,23.6979163,90.5092778,819.0,,,link,0.0
11,N1,LRP008,23.7020556,90.5157222,10.999999999999233,,,link,0.0
12,N1,LRP008a,23.7021111,90.5157778,418.000000000001,,,link,0.0
13,N1,LRP008b,23.7045833,90.5188327,394.23,A,,bridge,4.0
14,N1,LRP009,23.7050278,90.5193327,259.9999999999998,,,link,0.0
15,N1,LRP009a,23.7060833,90.5215271,740.0000000000002,,,link,0.0
16,N1,LRP010,23.7025278,90.5273882,112.0000000000001,,,link,0.0
17,N1,LRP010a,23.7015278,90.5281938,8.0,B,1987.0,bridge,3.0
18,N1,LRP010b,23.6998608,90.5307216,6.3,A,1992.0,bridge,4.0
19,N1,LRP010c,23.6974163,90.5337774,6.3,A,1984.0,bridge,4.0
20,N1,LRP011,23.6966386,90.5348052,381.99999999999966,,,link,0.0
21,N1,LRP011a,23.6943608,90.5376108,8.3,A,1986.0,bridge,4.0
22,N1,LRP011b,23.6922774,90.5410552,183.99999999999926,,,link,0.0
23,N1,LRP012,23.6918052,90.5426108,247.99999999999932,,,link,0.0
24,N1,LRP012a,23.6911108,90.5448886,9.3,A,1986.0,bridge,4.0
25,N1,LRP012b,23.6910552,90.5451386,6.1,A,1987.0,bridge,4.0
26,N1,LRP012c,23.6904163,90.546583,587.9999999999992,,,link,0.0
27,N1,LRP013,23.6865274,90.5504167,148.00000000000148,,,link,0.0
28,N1,LRP013a,23.6854997,90.5512778,27.5,A,,bridge,4.0
29,N1,LRP014,23.678166,90.5556111,1000.0,,,link,0.0
30,N1,LRP015,23.670916,90.5597778,39.00000000000148,,,link,0.0
31,N1,LRP015a,23.6705827,90.5599722,960.9999999999985,,,link,0.0
32,N1,LRP016,23.6628333,90.5641111,411.00000000000136,,,link,0.0
33,N1,LRP016a,23.6604167,90.5671104,5.55,B,2003.0,bridge,3.0
34,N1,LRP016b,23.6591111,90.5697216,160.00000000000014,,,link,0.0
35,N1,LRP016c,23.6583056,90.5709993,121.99999999999989,,,link,0.0
36,N1,LRP017,23.6575,90.5719716,306.99999999999864,,,link,0.0
37,N1,LRP017a,23.6559722,90.5743327,21.000000000000796,,,link,0.0
38,N1,LRP017b,23.6559167,90.5745271,159.52,C,,bridge,2.0
39,N1,LRP017c,23.6540556,90.5772771,30.000000000001137,,,link,0.0
40,N1,LRP017d,23.6539167,90.5774993,289.99999999999915,,,link,0.0
41,N1,LRP018,23.6525278,90.5798882,338.99999999999864,,,link,0.0
42,N1,LRP018a,23.6508889,90.5826382,20.5,A,,bridge,4.0
43,N1,LRP018b,23.6506944,90.5829993,20.45,A,,bridge,4.0
44,N1,LRP019,23.6476108,90.588083,353.9999999999992,,,link,0.0
45,N1,LRP019a,23.6449441,90.5899163,40.4,B,,bridge,3.0
46,N1,LRP019b,23.6397497,90.5926941,40.33,B,,bridge,3.0
47,N1,LRP020,23.6396941,90.5927219,519.9999999999995,,,link,0.0
48,N1,LRP020a,23.6358608,90.5948052,6.0,A,2001.0,bridge,4.0
49,N1,LRP020b,23.6341108,90.5970274,10.4,B,2003.0,bridge,3.0
50,N1,LRP020c,23.6335552,90.5976941,82.00000000000074,,,link,0.0
51,N1,LRP021,23.6330549,90.5982774,974.9999999999978,,,link,0.0
52,N1,LRP021a,23.6262771,90.6042222,130.00000000000256,,,link,0.0
