scenario,replication,seed,average_driving_time,scenario_mean,scenario_std,standard_error,ci_95_lower,ci_95_upper
5,1,1608637542,918.8834796488428,925.1166716955079,5.768425863537118,1.824136424260092,921.5413643039581,928.6919790870577
5,2,1273642419,929.2714285714286,925.1166716955079,5.768425863537118,1.824136424260092,921.5413643039581,928.6919790870577
5,3,1935803228,934.693172690763,925.1166716955079,5.768425863537118,1.824136424260092,921.5413643039581,928.6919790870577
5,4,787846414,927.743264659271,925.1166716955079,5.768425863537118,1.824136424260092,921.5413643039581,928.6919790870577
5,5,996406378,924.6831210191083,925.1166716955079,5.768425863537118,1.824136424260092,921.5413643039581,928.6919790870577
5,6,1201263687,930.4848966613672,925.1166716955079,5.768425863537118,1.824136424260092,921.5413643039581,928.6919790870577
5,7,423734972,916.0239616613419,925.1166716955079,5.768425863537118,1.824136424260092,921.5413643039581,928.6919790870577
5,8,415968276,920.2446043165468,925.1166716955079,5.768425863537118,1.824136424260092,921.5413643039581,928.6919790870577
5,9,670094950,922.4800955414013,925.1166716955079,5.768425863537118,1.824136424260092,921.5413643039581,928.6919790870577
5,10,1914837113,926.658692185008,925.1166716955079,5.768425863537118,1.824136424260092,921.5413643039581,928.6919790870577
