road,id,model_type,condition,name,lat,lon,length
N1,1,source,,LRPS,23.706028,90.443333,814.0
N1,2,link,,LRPSa,23.702917,90.450417,8.0
N1,3,link,,LRPSb,23.702778,90.450472,178.0
N1,4,link,,LRP001,23.702139,90.451972,1000.0
N1,5,link,,LRP002,23.697889,90.460583,130.0
N1,6,link,,LRP002a,23.697361,90.461667,870.0
N1,7,link,,LRP003,23.693833,90.469138,1000.0
N1,8,link,,LRP004,23.693611,90.478777,175.0
N1,9,link,,LRP004a,23.693805,90.480527,825.0
N1,10,link,,LRP005,23.69475,90.4885,1000.0
N1,11,link,,LRP006,23.695916,90.498194,1000.0
N1,12,link,,LRP007,23.697333,90.50775,181.0
N1,13,link,,LRP007a,23.697916,90.509278,819.0
N1,14,link,,LRP008,23.702056,90.515722,11.0
N1,15,link,,LRP008a,23.702111,90.515778,418.0
N1,16,bridge,C,LRP008b,23.704583,90.518833,397.0
N1,17,link,,LRP009,23.705028,90.519333,260.0
N1,18,link,,LRP009a,23.706083,90.521527,740.0
N1,19,link,,LRP010,23.702528,90.527388,112.0
N1,20,bridge,B,LRP010a,23.701528,90.528194,8.0
N1,21,bridge,A,LRP010b,23.699861,90.530722,6.3
N1,22,bridge,A,LRP010c,23.697416,90.533777,6.3
N1,23,link,,LRP011,23.696639,90.534805,382.0
N1,24,bridge,A,LRP011a,23.694361,90.537611,8.3
N1,25,link,,LRP011b,23.692277,90.541055,184.0
N1,26,link,,LRP012,23.691805,90.542611,248.0
N1,27,bridge,A,LRP012a,23.691111,90.544889,9.3
N1,28,bridge,A,LRP012b,23.691055,90.545139,6.1
N1,29,link,,LRP012c,23.690416,90.546583,588.0
N1,30,link,,LRP013,23.686527,90.550417,148.0
N1,31,bridge,A,LRP013a,23.6855,90.551278,26.3
N1,32,link,,LRP014,23.678166,90.555611,1000.0
N1,33,link,,LRP015,23.670916,90.559778,39.0
N1,34,link,,LRP015a,23.670583,90.559972,961.0
N1,35,link,,LRP016,23.662833,90.564111,411.0
N1,36,bridge,B,LRP016a,23.660417,90.56711,5.55
N1,37,link,,LRP016b,23.659111,90.569722,160.0
N1,38,link,,LRP016c,23.658306,90.570999,122.0
N1,39,link,,LRP017,23.6575,90.571972,307.0
N1,40,link,,LRP017a,23.655972,90.574333,21.0
N1,41,bridge,B,LRP017b,23.655917,90.574527,159.5
N1,42,link,,LRP017c,23.654056,90.577277,30.0
N1,43,link,,LRP017d,23.653917,90.577499,290.0
N1,44,link,,LRP018,23.652528,90.579888,339.0
N1,45,bridge,B,LRP018a,23.650889,90.582638,20.0
N1,46,bridge,A,LRP018b,23.650694,90.582999,20.45
N1,47,link,,LRP019,23.647611,90.588083,354.0
N1,48,bridge,B,LRP019a,23.644944,90.589916,40.4
N1,49,bridge,B,LRP019b,23.63975,90.592694,40.33
N1,50,link,,LRP020,23.639694,90.592722,520.0
N1,51,bridge,A,LRP020a,23.635861,90.594805,6.0
N1,52,bridge,B,LRP020b,23.634111,90.597027,10.4
N1,53,link,,LRP020c,23.633555,90.597694,82.0
N1,54,link,,LRP021,23.633055,90.598277,975.0
N1,55,link,,LRP021a,23.626277,90.604222,130.0
N1,56,link,,LRP022,23.625222,90.604972,136.0
N1,57,bridge,B,LRP022a,23.624222,90.605528,5.5
N1,58,link,,LRP022b,23.622499,90.606694,259.0
N1,59,link,,LRP022c,23.620472,90.607972,122.0
N1,60,link,,LRP022d,23.619527,90.608583,255.0
N1,61,link,,LRP023,23.61736,90.609694,935.0
N1,62,bridge,B,LRP023a,23.609556,90.612194,214.09
N1,63,link,,LRP024,23.609,90.612472,874.0
N1,64,bridge,C,LRP024a,23.601861,90.615972,900.0
N1,65,link,,LRP025,23.600944,90.616556,1000.0
N1,66,link,,LRP026,23.596,90.624666,10.0
N1,67,bridge,A,LRP026a,23.595944,90.624694,5.6
N1,68,bridge,A,LRP026b,23.59175,90.629333,5.5
N1,69,link,,LRP027,23.589611,90.631388,874.0
N1,70,bridge,A,LRP027a,23.58375,90.636944,5.6
N1,71,link,,LRP028,23.582833,90.637889,39.0
N1,72,bridge,A,LRP028a,23.582583,90.638139,163.5
N1,73,bridge,A,LRP028b,23.577916,90.641972,172.1
N1,74,link,,LRP028c,23.57761,90.642111,396.0
N1,75,link,,LRP029,23.574527,90.643694,308.0
N1,76,bridge,A,LRP029a,23.572166,90.645111,29.0
N1,77,bridge,A,LRP029b,23.571833,90.645305,29.77
N1,78,link,,LRP030,23.566611,90.648166,368.0
N1,79,bridge,A,LRP030a,23.563917,90.650194,34.7
N1,80,link,,LRP030b,23.563694,90.650472,532.0
N1,81,link,,LRP030c,23.560417,90.654222,38.0
N1,82,link,,LRP030d,23.560222,90.6545,39.0
N1,83,link,,LRP031,23.559972,90.654806,162.0
N1,84,bridge,B,LRP031a,23.559028,90.655944,26.3
N1,85,link,,LRP031b,23.556444,90.658861,40.0
N1,86,link,,LRP031c,23.556222,90.659139,395.0
N1,87,link,,LRP032,23.553806,90.661972,242.0
N1,88,bridge,A,LRP032a,23.552333,90.663667,29.0
N1,89,link,,LRP033,23.54875,90.667833,224.0
N1,90,bridge,A,LRP033a,23.547416,90.669444,9.1
N1,91,bridge,A,LRP033b,23.546944,90.669999,5.2
N1,92,link,,LRP033c,23.544222,90.67311,256.0
N1,93,link,,LRP034,23.542583,90.674944,1000.0
N1,94,link,,LRP035,23.53625,90.681916,34.0
N1,95,bridge,A,LRP035a,23.536083,90.682138,9.5
N1,96,link,,LRP035b,23.535861,90.68236,275.0
N1,97,link,,LRP035c,23.534139,90.684305,651.0
N1,98,link,,LRP036,23.530194,90.688833,664.0
N1,99,bridge,B,LRP036a,23.529916,90.695222,24.5
N1,100,link,,LRP037,23.530138,90.6985,1000.0
N1,101,link,,LRP038,23.530749,90.708278,78.0
N1,102,link,,LRP038a,23.530777,90.709028,355.0
N1,103,link,,LRP038b,23.531388,90.715361,426.0
N1,104,link,,LRP038c,23.531472,90.717222,77.0
N1,105,link,,LRP038d,23.531527,90.71736,17.0
N1,106,link,,LRP038e,23.531583,90.71761,47.0
N1,107,link,,LRP039,23.531722,90.718027,513.0
N1,108,link,,LRP039a,23.532235,90.72263,487.0
N1,109,link,,LRP040,23.532722,90.726999,1000.0
N1,110,link,,LRP041,23.528916,90.735611,654.0
N1,111,link,,LRP042,23.528999,90.741944,967.0
N1,112,link,,LRP042a,23.529388,90.751417,17.0
N1,113,link,,LRP042b,23.529388,90.751583,24.0
N1,114,link,,LRP043,23.529416,90.75175,1000.0
N1,115,link,,LRP044,23.529999,90.7615,1000.0
N1,116,link,,LRP045,23.530444,90.771305,185.0
N1,117,link,,LRP045a,23.530499,90.77311,815.0
N1,118,link,,LRP046,23.530805,90.78111,53.0
N1,119,bridge,C,LRP046a,23.530749,90.78161,3.9
N1,120,link,,LRP046b,23.530666,90.782194,773.0
N1,121,link,,LRP046c,23.531222,90.789555,108.0
N1,122,link,,LRP047,23.531166,90.790722,955.0
N1,123,bridge,C,LRP047a,23.530694,90.792444,6.5
N1,124,link,,LRP048,23.53086,90.800222,403.0
N1,125,link,,LRP048a,23.530888,90.804139,20.0
N1,126,link,,LRP048b,23.530916,90.804361,577.0
N1,127,link,,LRP049,23.531638,90.809917,1000.0
N1,128,link,,LRP050,23.533249,90.819472,594.0
N1,129,link,,LRP050a,23.534666,90.824972,16.0
N1,130,link,,LRP050b,23.534722,90.82511,390.0
N1,131,link,,LRP051,23.5345,90.828722,1000.0
N1,132,link,,LRP052,23.529222,90.836527,367.0
N1,133,link,,LRP052a,23.527055,90.839139,633.0
N1,134,link,,LRP053,23.523166,90.843889,1000.0
N1,135,link,,LRP054,23.517499,90.851389,1000.0
N1,136,link,,LRP055,23.517083,90.860778,1000.0
N1,137,link,,LRP056,23.513583,90.869777,64.0
N1,138,bridge,B,LRP056a,23.513306,90.870305,28.9
N1,139,link,,LRP056b,23.513111,90.870638,102.0
N1,140,link,,LRP056c,23.512667,90.871416,792.0
N1,141,link,,LRP057,23.508806,90.87786,1000.0
N1,142,link,,LRP058,23.506,90.886916,922.0
N1,143,link,,LRP058a,23.505611,90.895889,78.0
N1,144,link,,LRP059,23.505639,90.896611,1000.0
N1,145,link,,LRP060,23.506278,90.906389,911.0
N1,146,link,,LRP060a,23.50575,90.91525,89.0
N1,147,link,,LRP061,23.505722,90.916028,1000.0
N1,148,link,,LRP062,23.505528,90.925722,1000.0
N1,149,link,,LRP063,23.504278,90.935416,9.0
N1,150,link,,LRP063a,23.504333,90.935472,264.0
N1,151,link,,LRP063b,23.503861,90.937139,352.0
N1,152,link,,LRP063c,23.502861,90.941277,375.0
N1,153,link,,LRP064,23.502028,90.944889,1000.0
N1,154,link,,LRP065,23.499527,90.954167,1000.0
N1,155,link,,LRP066,23.498639,90.965111,274.0
N1,156,link,,LRP066a,23.498055,90.966028,183.0
N1,157,link,,LRP067,23.497277,90.967472,1000.0
N1,158,link,,LRP068,23.494222,90.976555,694.0
N1,159,bridge,A,LRP068a,23.495139,90.982999,4.5
N1,160,link,,LRP069,23.49425,90.985833,1000.0
N1,161,link,,LRP070,23.491139,90.995027,890.0
N1,162,link,,LRP070a,23.489444,91.003306,22.0
N1,163,link,,LRP070b,23.489389,91.003472,71.0
N1,164,link,,LRP071,23.489611,91.004306,734.0
N1,165,link,,LRP072,23.489305,91.011278,84.0
N1,166,bridge,C,LRP072a,23.489055,91.012028,22.55
N1,167,link,,LRP072b,23.488944,91.01225,198.0
N1,168,link,,LRP073,23.488333,91.014083,1020.0
N1,169,link,,LRP074,23.484639,91.022944,1000.0
N1,170,link,,LRP075,23.482777,91.032138,913.0
N1,171,bridge,B,LRP075a,23.481166,91.040444,4.6
N1,172,link,,LRP076,23.481472,91.041972,871.0
N1,173,bridge,B,LRP076a,23.482083,91.050417,4.6
N1,174,link,,LRP077,23.482138,91.051694,760.0
N1,175,bridge,A,LRP077a,23.481527,91.059028,1.5
N1,176,link,,LRP078,23.481555,91.061361,1000.0
N1,177,link,,LRP079,23.48011,91.070638,944.0
N1,178,bridge,C,LRP079a,23.477083,91.078999,1.0
N1,179,link,,LRP080,23.477027,91.079472,1000.0
N1,180,link,,LRP081,23.478194,91.089,1000.0
N1,181,link,,LRP082,23.477555,91.098666,513.0
N1,182,link,,LRP082a,23.47786,91.103611,487.0
N1,183,link,,LRP083,23.477999,91.105528,972.0
N1,184,bridge,A,LRP083a,23.478944,91.117722,1.4
N1,185,link,,LRP084,23.478972,91.117999,17.0
N1,186,link,,LRP084a,23.478972,91.118166,547.0
N1,187,link,,LRP084b,23.479333,91.123472,436.0
N1,188,link,,LRP085,23.480083,91.127638,1000.0
N1,189,link,,LRP086,23.476722,91.136444,1000.0
N1,190,link,,LRP087,23.468222,91.139444,1000.0
N1,191,link,,LRP088,23.459583,91.142139,68.0
N1,192,bridge,C,LRP088a,23.459,91.142333,22.85
N1,193,link,,LRP089,23.451306,91.146055,303.0
N1,194,link,,LRP089a,23.448833,91.147139,24.0
N1,195,link,,LRP089b,23.448639,91.14725,210.0
N1,196,link,,LRP089c,23.446944,91.148139,463.0
N1,197,link,,LRP090,23.442527,91.149777,684.0
N1,198,link,,LRP091,23.437389,91.152194,1000.0
N1,199,link,,LRP092,23.428888,91.155389,980.0
N1,200,link,,LRP093,23.423694,91.162694,28.0
N1,201,link,,LRP093a,23.423583,91.162972,37.0
N1,202,link,,LRP093b,23.423416,91.163278,508.0
N1,203,link,,LRP093c,23.42136,91.167666,427.0
N1,204,link,,LRP094,23.419527,91.171416,90.0
N1,205,bridge,B,LRP094a,23.419138,91.172194,27.9
N1,206,link,,LRP095,23.414944,91.180138,511.0
N1,207,link,,LRP095a,23.413111,91.184666,28.0
N1,208,link,,LRP095b,23.413056,91.184916,461.0
N1,209,link,,LRP096,23.4125,91.189389,1008.0
N1,210,link,,LRP097,23.411306,91.198889,1027.0
N1,211,link,,LRP098,23.410083,91.208778,37.0
