scenario,replication,route_length_km,driving_time_min,source_id,source_name,sink_id,sink_name
4,1,11.472700000000001,15,1340,LRPS,2684,LRP048
4,1,3.4356,5,2943,LRPE,2777,LRPE
4,1,3.4356,25,2777,LRPE,2943,LRPE
4,1,12.442999999999998,30,1340,LRPS,2225,LRPE
4,1,3.4356,5,2777,LRPE,2943,LRPE
4,1,3.4356,20,2777,LRPE,2943,LRPE
4,1,9.086,11,2225,LRPE,1,LRPS
4,1,11.472700000000001,15,1340,LRPS,2684,LRP048
4,1,9.086,11,2225,LRPE,1,LRPS
4,1,50.366749999999996,86,1,LRPS,2568,LRPS
4,1,3.4356,5,2777,LRPE,2943,LRPE
4,1,12.442999999999998,16,1340,LRPS,2225,LRPE
4,1,40.310449999999996,51,2568,LRPS,2684,LRP048
4,1,3.4356,5,2943,LRPE,2777,LRPE
4,1,12.442999999999998,16,1340,LRPS,2225,LRPE
4,1,51.78315,73,1340,LRPS,2568,LRPS
4,1,48.14344999999999,90,2684,LRP048,3120,LRPE
4,1,26.264309999999995,75,2444,LRPE,2943,LRPE
4,1,47.93777999999999,92,2444,LRPE,2567,LRPE
4,1,41.280750000000005,68,2568,LRPS,2225,LRPE
4,1,21.528999999999996,76,1,LRPS,1340,LRPS
4,1,33.833580000000005,84,2685,LRPS,2943,LRPE
4,1,21.529,26,1340,LRPS,1,LRPS
4,1,21.528999999999996,27,1,LRPS,1340,LRPS
4,1,57.52533,108,3120,LRPE,2685,LRPS
4,1,3.4356,31,2777,LRPE,2943,LRPE
4,1,61.607320000000016,92,1340,LRPS,2444,LRPE
4,1,33.833580000000005,94,2943,LRPE,2685,LRPS
4,1,10.056299999999998,30,2684,LRP048,1,LRPS
4,1,10.056299999999997,26,1,LRPS,2684,LRP048
4,1,54.18429999999999,123,2778,LRPS,2943,LRPE
4,1,10.056299999999997,13,1,LRPS,2684,LRP048
4,1,27.127350000000003,34,2777,LRPE,3120,LRPE
4,1,27.127350000000003,119,3120,LRPE,2777,LRPE
4,1,22.828709999999994,91,2444,LRPE,2777,LRPE
4,1,23.691750000000003,100,3120,LRPE,2943,LRPE
4,1,11.472700000000001,15,2684,LRP048,1340,LRPS
4,1,41.28074999999999,51,2225,LRPE,2568,LRPS
