id,name,road,type,length_m,vehicle_count
1518,,N2,Bridge,428.91,91
1541,,N2,Bridge,79.75,83
798,,N1,Bridge,294.15,71
1373,,N2,Bridge,72.15,59
565,,N1,Link,8309.0,57
226,,N1,Bridge,22.88,54
1483,,N2,Bridge,141.61,49
666,,N1,Bridge,211.3,48
189,,N1,Link,1000.0,42
1422,,N2,Bridge,69.5,42
1531,,N2,Link,934.0,38
1111,,N1,Bridge,12.3,38
1458,,N2,Link,969.0,36
1501,,N2,Link,890.0,36
221,,N1,Link,898.0,36
1589,,N2,Bridge,202.55,36
1360,,N2,Bridge,19.0,36
1396,,N2,Link,870.0,35
279,,N1,Link,865.0,35
212,,N1,Bridge,27.35,35
1561,,N2,Link,985.0,34
1018,,N1,Bridge,61.3,34
1130,,N1,Bridge,12.8,34
950,,N1,Bridge,10.0,34
210,,N1,Link,1027.0,33
198,,N1,Link,1000.0,33
232,,N1,Link,1000.0,33
237,,N1,Link,1000.0,33
16,,N1,Bridge,397.0,33
190,,N1,Link,1000.0,33
240,,N1,Link,917.0,33
1363,,N2,Link,1000.0,33
643,,N1,Bridge,50.8,32
1386,,N2,Link,1000.0,31
254,,N1,Link,1000.0,31
270,,N1,Link,448.0,30
284,,N1,Link,614.0,30
303,,N1,Link,1000.0,30
1565,,N2,Link,950.0,30
192,,N1,Bridge,22.85,29
1393,,N2,Link,990.0,29
230,,N1,Link,687.0,29
216,,N1,Link,1000.0,29
1551,,N2,Link,940.0,29
1627,,N2,Bridge,68.09,28
1090,,N1,Bridge,15.4,28
606,,N1,Bridge,50.8,28
224,,N1,Link,1000.0,27
188,,N1,Link,1000.0,27
277,,N1,Link,771.0,27
1507,,N2,Link,1000.0,27
1553,,N2,Link,926.0,26
1407,,N2,Link,1020.0,26
829,,N1,Bridge,58.57,26
1394,,N2,Link,1000.0,25
229,,N1,Link,610.0,25
573,,N1,Bridge,116.5,24
206,,N1,Link,511.0,24
1166,,N1,Bridge,30.9,24
1540,,N2,Bridge,3.15,24
209,,N1,Link,1008.0,24
1103,,N1,Bridge,58.0,23
1041,,N1,Bridge,50.6,23
1279,,N1,Bridge,35.9,23
199,,N1,Link,980.0,23
481,,N1,Bridge,22.25,23
196,,N1,Link,463.0,23
617,,N1,Bridge,60.5,23
839,,N1,Bridge,60.03,22
507,,N1,Bridge,27.0,21
1535,,N2,Bridge,3.1,21
333,,N1,Link,724.0,21
836,,N1,Bridge,54.03,21
197,,N1,Link,684.0,19
245,,N1,Link,547.0,19
1482,,N2,Link,709.0,18
1000,,N1,Bridge,11.2,18
1239,,N1,Bridge,37.2,17
931,,N1,Bridge,136.3,16
1218,,N1,Bridge,29.9,15
769,,N1,Bridge,56.2,15
1574,,N2,Bridge,22.95,15
1968,,N2,Bridge,282.35,14
243,,N1,Link,598.0,9
555,,N1,Link,351.0,9
307,,N1,Link,368.0,8
1635,,N2,Bridge,36.7,8
670,,N1,Link,1094.0,8
786,,N1,Link,907.0,8
1575,,N2,Link,887.0,7
13,,N1,Link,819.0,7
1539,,N2,Link,449.0,7
529,,N1,Link,1000.0,7
364,,N1,Link,1000.0,7
396,,N1,Link,1000.0,7
1273,,N1,Bridge,37.3,7
649,,N1,Link,343.0,6
1633,,N2,Bridge,19.4,6
771,,N1,Link,585.0,6
958,,N1,Bridge,22.0,6
