scenario,replication,route_length_km,driving_time_min,source_id,source_name,sink_id,sink_name
3,1,0.9702999999999999,2,2684,LRP048,2225,LRPE
3,1,0.9702999999999999,2,2684,LRP048,2225,LRPE
3,1,0.9702999999999999,2,2225,LRPE,2684,LRP048
3,1,0.9702999999999999,2,2684,LRP048,2225,LRPE
3,1,0.9702999999999999,2,2684,LRP048,2225,LRPE
3,1,3.4356,5,2777,LRPE,2943,LRPE
3,1,3.4356,5,2943,LRPE,2777,LRPE
3,1,0.9702999999999999,2,2684,LRP048,2225,LRPE
3,1,0.9702999999999999,2,2684,LRP048,2225,LRPE
3,1,3.4356,5,2943,LRPE,2777,LRPE
3,1,0.9702999999999999,2,2684,LRP048,2225,LRPE
3,1,0.9702999999999999,2,2684,LRP048,2225,LRPE
3,1,0.9702999999999999,2,2684,LRP048,2225,LRPE
3,1,8.272,12,1,LRPS,2225,LRPE
3,1,8.272,12,1,LRPS,2225,LRPE
3,1,0.9702999999999999,2,2225,LRPE,2684,LRP048
3,1,8.272,12,1,LRPS,2225,LRPE
3,1,8.272,12,1,LRPS,2225,LRPE
3,1,10.056299999999998,12,2684,LRP048,1,LRPS
3,1,12.276999999999997,16,1340,LRPS,2225,LRPE
3,1,8.272,12,1,LRPS,2225,LRPE
3,1,9.242299999999997,13,1,LRPS,2684,LRP048
3,1,0.9702999999999999,2,2684,LRP048,2225,LRPE
3,1,12.443,16,2225,LRPE,1340,LRPS
3,1,8.272,12,1,LRPS,2225,LRPE
3,1,12.276999999999997,16,1340,LRPS,2225,LRPE
3,1,11.472700000000001,15,2684,LRP048,1340,LRPS
3,1,9.242299999999997,13,1,LRPS,2684,LRP048
3,1,0.9702999999999999,2,2684,LRP048,2225,LRPE
3,1,11.472700000000001,15,2684,LRP048,1340,LRPS
3,1,9.086,11,2225,LRPE,1,LRPS
3,1,12.276999999999997,16,1340,LRPS,2225,LRPE
3,1,12.276999999999997,16,1340,LRPS,2225,LRPE
3,1,0.9702999999999999,2,2684,LRP048,2225,LRPE
3,1,8.272,12,1,LRPS,2225,LRPE
3,1,3.4356,5,2943,LRPE,2777,LRPE
3,1,12.276999999999997,16,1340,LRPS,2225,LRPE
3,1,8.272,12,1,LRPS,2225,LRPE
3,1,0.9702999999999999,2,2684,LRP048,2225,LRPE
3,1,0.9702999999999999,2,2684,LRP048,2225,LRPE
3,1,12.276999999999997,16,1340,LRPS,2225,LRPE
3,1,11.306700000000001,15,1340,LRPS,2684,LRP048
3,1,0.9702999999999999,2,2684,LRP048,2225,LRPE
3,1,0.9702999999999999,2,2684,LRP048,2225,LRPE
3,1,0.9702999999999999,2,2684,LRP048,2225,LRPE
3,1,12.276999999999997,16,1340,LRPS,2225,LRPE
3,1,11.306700000000001,15,1340,LRPS,2684,LRP048
3,1,11.306700000000001,15,1340,LRPS,2684,LRP048
3,1,8.272,12,1,LRPS,2225,LRPE
3,1,0.9702999999999999,2,2684,LRP048,2225,LRPE
3,1,0.9702999999999999,2,2684,LRP048,2225,LRPE
3,1,10.056299999999998,12,2684,LRP048,1,LRPS
3,1,0.9702999999999999,2,2684,LRP048,2225,LRPE
3,1,20.714999999999996,27,1,LRPS,1340,LRPS
3,1,11.306700000000001,15,1340,LRPS,2684,LRP048
3,1,12.276999999999997,16,1340,LRPS,2225,LRPE
3,1,12.443,16,2225,LRPE,1340,LRPS
3,1,8.272,12,1,LRPS,2225,LRPE
3,1,8.272,12,1,LRPS,2225,LRPE
3,1,8.272,12,1,LRPS,2225,LRPE
3,1,8.272,12,1,LRPS,2225,LRPE
3,1,8.272,12,1,LRPS,2225,LRPE
3,1,9.242299999999997,13,1,LRPS,2684,LRP048
3,1,8.272,12,1,LRPS,2225,LRPE
3,1,10.056299999999998,12,2684,LRP048,1,LRPS
3,1,3.4356,5,2777,LRPE,2943,LRPE
3,1,0.9702999999999999,2,2225,LRPE,2684,LRP048
3,1,0.9702999999999999,2,2225,LRPE,2684,LRP048
3,1,22.828709999999994,29,2444,LRPE,2777,LRPE
3,1,8.272,12,1,LRPS,2225,LRPE
3,1,8.272,12,1,LRPS,2225,LRPE
3,1,0.9702999999999999,2,2684,LRP048,2225,LRPE
3,1,0.9702999999999999,2,2684,LRP048,2225,LRPE
3,1,10.056299999999998,12,2684,LRP048,1,LRPS
3,1,0.9702999999999999,2,2225,LRPE,2684,LRP048
3,1,0.9702999999999999,2,2684,LRP048,2225,LRPE
3,1,9.086,11,2225,LRPE,1,LRPS
3,1,12.276999999999997,29,1340,LRPS,2225,LRPE
