id,name,road,type,condition,length_m,throughput,current_vehicles
29,,N1,Intersection,-,0.0,32811,0
1568,,N2,Intersection,-,0.0,29241,0
1359,,N2,Intersection,-,0.0,28570,0
18,,N1,Intersection,-,0.0,28191,0
186,,N1,Intersection,-,0.0,28137,0
184,,N1,Intersection,-,0.0,25604,0
20,,N1,Bridge,B,8.0,23515,42
27,,N1,Bridge,A,9.3,23507,30
19,,N1,Link,-,112.0,23495,0
24,,N1,Bridge,A,8.3,23494,3
26,,N1,Link,-,248.0,23493,1
25,,N1,Link,-,184.0,23493,0
21,,N1,Bridge,A,6.3,23493,3
28,,N1,Bridge,A,6.1,23492,5
23,,N1,Link,-,382.0,23492,3
22,,N1,Bridge,A,6.3,23491,3
1360,,N2,Bridge,C,19.0,22341,84
1365,,N2,Bridge,B,4.9,22292,40
1363,,N2,Link,-,1000.0,22282,4
1364,,N2,Link,-,162.0,22281,0
1361,,N2,Link,-,214.0,22279,0
1362,,N2,Link,-,20.0,22279,0
1367,,N2,Bridge,B,3.5,22273,30
1366,,N2,Link,-,132.0,22263,0
1372,,N2,Link,-,914.0,22261,31
1373,,N2,Bridge,C,72.15,22258,89
1369,,N2,Bridge,A,3.4,22255,3
1371,,N2,Link,-,8.0,22254,0
1370,,N2,Link,-,22.0,22254,0
1368,,N2,Link,-,467.0,22253,0
1375,,N2,Bridge,A,4.5,22194,20
1377,,N2,Bridge,B,8.3,22193,30
1374,,N2,Link,-,754.0,22190,3
1376,,N2,Link,-,449.0,22181,0
1380,,N2,Bridge,A,8.3,22178,26
1378,,N2,Link,-,273.0,22176,1
1379,,N2,Link,-,675.0,22176,3
1384,,N2,Link,-,926.0,22165,36
1382,,N2,Bridge,A,4.0,22158,5
1381,,N2,Link,-,288.0,22157,0
1383,,N2,Bridge,A,8.0,22155,2
1385,,N2,Bridge,B,4.0,22152,47
1386,,N2,Link,-,1000.0,22126,30
1388,,N2,Bridge,A,4.0,22105,4
1387,,N2,Link,-,322.0,22105,0
1393,,N2,Link,-,990.0,22102,30
1391,,N2,Bridge,A,4.0,22102,6
1389,,N2,Bridge,A,4.0,22101,1
1390,,N2,Link,-,469.0,22100,1
1392,,N2,Bridge,A,2.0,22099,3
1394,,N2,Link,-,1000.0,22085,25
1396,,N2,Link,-,870.0,22075,35
1395,,N2,Link,-,130.0,22067,0
1398,,N2,Bridge,A,2.5,22061,35
1397,,N2,Link,-,187.0,22048,0
1399,,N2,Bridge,A,2.5,22047,28
1401,,N2,Link,-,909.0,22036,32
1400,,N2,Link,-,90.0,22027,0
1405,,N2,Bridge,B,30.3,22019,46
1402,,N2,Link,-,251.0,22013,0
1403,,N2,Link,-,34.0,22013,0
1404,,N2,Link,-,483.0,22013,2
1407,,N2,Link,-,1020.0,21986,27
1406,,N2,Link,-,10.0,21981,0
1408,,N2,Link,-,665.0,21966,14
1415,,N2,Bridge,A,12.7,21956,31
1409,,N2,Bridge,A,3.6,21954,2
1411,,N2,Link,-,408.0,21952,1
1410,,N2,Link,-,280.0,21952,1
1412,,N2,Link,-,322.0,21952,6
1413,,N2,Link,-,425.0,21947,1
1414,,N2,Link,-,474.0,21947,0
1419,,N2,Bridge,A,27.4,21942,29
1417,,N2,Bridge,A,3.0,21935,2
1418,,N2,Link,-,164.0,21934,0
1416,,N2,Link,-,245.0,21934,0
1422,,N2,Bridge,C,69.5,21928,86
1420,,N2,Link,-,808.0,21928,28
1421,,N2,Link,-,263.0,21907,0
1426,,N2,Bridge,A,12.6,21868,25
1424,,N2,Bridge,A,3.0,21864,3
1423,,N2,Link,-,349.0,21863,0
1425,,N2,Link,-,21.0,21862,0
1432,,N2,Bridge,B,3.5,21862,51
1429,,N2,Bridge,A,3.4,21850,2
1427,,N2,Link,-,85.0,21849,0
1428,,N2,Link,-,253.0,21849,0
1430,,N2,Bridge,A,3.0,21849,1
1431,,N2,Link,-,230.0,21848,0
1436,,N2,Bridge,B,14.1,21840,59
1433,,N2,Bridge,A,3.0,21825,0
1434,,N2,Link,-,40.0,21825,0
1435,,N2,Bridge,A,1.8,21825,2
1439,,N2,Bridge,A,2.0,21808,39
1437,,N2,Link,-,170.0,21798,0
1438,,N2,Link,-,183.0,21798,0
1449,,N2,Bridge,B,105.15,21787,56
1440,,N2,Link,-,159.0,21780,1
1441,,N2,Link,-,30.0,21780,0
1442,,N2,Link,-,160.0,21780,0
